name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
One Big Media,,Belo Horizonte,State of Minas Gerais,Brazil,"Belo Horizonte, Mg",http://1big.media/site/,27,237,,Internet,https://www.linkedin.com/company/one-big-media-group,"One Big Media Group is an eMotion Studios' startup, and it focus on growning audience through Youtube channels, Instagram and Facebook. It's goal is to be the biggest digital media group in Brazil and impact millions of people every day with good content and a content that is good!",Partnership,,11-50 employees,,0,,,,"Internet, Information Technology, Events, Media and Entertainment, Internet of Things, Digital Entertainment,",B2C
青岛啤酒,159373,Qingdao,Shandong,China,"青岛市, 山东省",http://www.tsingtao.com.cn,2076,454,1903,Food & Beverages,https://www.linkedin.com/company/tsingtao-1903,"The predecessor of Tsingtao Brewery Co., Ltd. was the German Beer Company, a joint venture founded by German and British businessmen in Qingdao in August 1903. It ranks first in the Chinese beer industry and ranks among the world's top 500 brands.",Self Owned,,"10,001+ employees",,0,,,,"Logistics, E-Commerce,",B2C
Max Advance,,,,Unknown,,http://www.maxadvance.com,9,231,,Financial Services,https://www.linkedin.com/company/max-advance-llc,"Max Advance is your source for all your business financing needs. We offer a full line of small business financing services to help small businesses grow and thrive including merchant cash advance, small business financing, business working capital and more!",Public Company,,0-1 employees,"business financing, business working capital, business cash advances, small business finance, fixed daily ACH cash advances, multiple funding options, one application, previous declines cash advance, starter cash advances",0,"Pardot, Salesforce Pardot",,,"Financial Services, Lending, Small and Medium Businesses,",B2B
Noviqu,,Columbia,Missouri,United States,"Columbia, MO",http://noviqu.com,4,134,2017,Information Technology and Services,https://www.linkedin.com/company/noviqu,"Noviqu provides transparency for manufacturers between what managers expect and what employees actually do by digitizing safety, maintenance and training processes.

-- a Techstars backed company",Privately Held,,2-10 employees,"Knowledge Management, Collaboration, Maintenance, Communication, Process Management, Troubleshooting, Training, Lean Manufacturing, Manufacturing, Software, Safety, Industry 4.0, Digital Manufacturing, Smart Factory, Knowledge Retention, Material Tracking, Learning Management Syststem, Operational Equipment Efficiency, Overall Equipment Efficiency, Real-time Communications",0,"HubSpot, New Relic, Vue.js, Hubspot Form Builder, D3js, Vuejs",Techstars Portfolio Companies,,"Manufacturing, Software, Enterprise Software,",B2B
Socioboard,,,,Unknown,Unknown,www.socioboard.com,5,224,,Information Technology and Services,https://www.linkedin.com/company/socioboard,"Socioboard is world’s first open source social technology enabler. We build social technology which helps businesses and brands to better understand social media and harness its real power.

Business should own their social data and they should be incharge of what they want to do with it, generate reports and analyze data to make informed and improved business decisions. This is possible when things are open and businesses have freedom to choose, we believe open source is a way to make this possible. 

We are building various innovative products in Socioboard like -

Socioboard Core - Socioboard Core is an open source social media management, analytics and reporting platform. Using Socioboard Core you can monitor and manage multiple social media accounts and create useful reports and take business decisions based on them. Socioboard Core is available as a web app and mobile apps on iOS and Android. Its completely open source and fully customizable and extensible in the form of plugins. It has a commercial SAAS version at - www.socioboard.com and open source version at - www.socioboard.org

BrandBuzzPro - BrandBuzzPro is a SAAS based Socioboard product which helps brands to recruits its employees and customers as its marketing crew. 
BrandBuzzPro helps you to engage with your employees and loyal customers and engage with them in a unique way to make them your social brand ambassadors.

Brandinfluence - Brandinfluence is a product to reach influencers in your niche and get them to tweet or share on facebook, instagram or linkedin about your brand on your product.
Influencers come to the platform, sign up and post a price per tweet or post on various networks . They also select categories or niches in which they would like to endorse posts/tweets about brands.
Brands can signup and find influencers in their category and pay them to post a tweet or make a share in their Facebook profile.",Public Company,,11-50 employees,,0,,Chief Martec - Social Relationships,,"Mobile, Enterprise Software, Digital Media, , Predictive Analytics",B2B
trustme,,Rio de Janeiro,State of Rio de Janeiro,Brazil,"Rio de Janeiro, Rio de Janeiro",http://trustmebrasil.com/,4,74,2014,Design,https://www.linkedin.com/company/trustme,Somos uma agência de comunicação e branding focada em assessorar novos empreendimentos e empresas em crescimento.,Privately Held,,2-10 employees,"BRANDING, MARKETING, NAMING, COMUNICAÇÃO, and GESTÃO DE REDES SOCIAIS",0,,,,"Information Technology, Software, Digital Media, , Communications Infrastructure",B2B
City Global,,Las Condes,Santiago Metropolitan Region,Chile,"Las Condes, Región Metropolitana de Santiago",https://cityglobal.cl/,3,423,2013,Venture Capital & Private Equity,https://www.linkedin.com/company/cityglobalcl,"Foco de apoyo:

Te apoyamos a administrar y operar tu empresa en crecimiento con gerentes de primer nivel, mejorando y aumentando tus cierres de ventas de negocios, gracias al apoyo de directores con amplia experiencia y posicionamiento en el mercado. 

www.cityglobal.cl",Privately Held,,2-10 employees,"Startups, Venture Capital, Internacionalización, emprendedores, Fusiones y adquisiciones, Venta empresa, Aceleración de startups, Directores Senior, Inversión ángel, Medianas Empresas, Pequeñas Empresas, Potenciamiento de pequeñas empresas, and pymes",0,,,,"Retail Technology, Social Media Marketing, Education, FinTech, Small and Medium Businesses, Media and Entertainment, Information and Communications Technology (ICT), Agriculture, SaaS, , Medical Device",B2B
Pivian,,Meckenheim,North Rhine-Westphalia,Germany,"Meckenheim, NRW, Germany",http://www.pivian.com,0,1,2014,Internet,https://www.linkedin.com/company/pivian,"Founded 2014 in Germany, Pivian offers advanced marketing technology in the cloud which is yet easy-to-use. Our customers are B2B and B2C companies which need more and better leads for their sales team. Our solution enables them to generate more valuable leads on their own websites with less efforts and at lower costs and to grow their business.

Content is King
Content marketing is both a science and an art and the clear direction for the future of digital marketing. Billion dollar companies and mom and pop shops alike are using it to drive more leads, build their online business platforms, and boost ROI across all of their marketing efforts. The best part about content is that it levels the playing field. Even with limited resources, you can do quite a bit with the tools in this report.

Our Solutions
That’s why we’ve created the Pivian Cloud Solution. By providing a custom Resource Center that will, out-of-the-box, support your content marketing efforts on numerous levels, you’ll have everything you need to publish and promote your content and evaluate lead generation activities across a spectrum of different opportunities.",Privately Held,,0-1 employees,"b2b marketing software, cloud-based resource center, inbound marketing solution",0,,Chief Martec - Content & Experience,,"Software,",B2B
Kapitol,,Uccle,Brussels,Belgium,Uccle,http://kapitol.com,6,9,,Automotive,https://www.linkedin.com/company/kapitol,"Kapitol is a company based out of 506 Chaussée de Saint-Job, Uccle, Belgium.",,,,,0,LiveChat,,,"Information Services, , Lead Generation",B2B
Terras App Solutions,,Belém,State of Pará,Brazil,"Belém, Pará",http://www.terras.agr.br,14,688,2014,Computer Software,https://www.linkedin.com/company/terras-app-solutions,"Terras App Solutions is a startup company founded in August 2014 to develop innovative Apps, running in mobile and desktop platforms, for land management, social-environmental risk monitoring and traceability of rural properties and agriculture, forest and non-timber forest products, and of environmental services (i.e., water, carbon stocks, biodiversity among others). Our mission is to develop solutions for sustainable agriculture.",Privately Held,,11-50 employees,"fintech, agritech, and sustentabilidade, geotecnologia",0,D3js,,,"Information Technology, Finance, GreenTech, ,",B2B B2C
MutualFun,,,,Unknown,Unknown,https://mutualfun.ritesolutions.com,0,0,,Human Resources,https://www.linkedin.com/company/mutual-fun,"At Rite Solutions, we believe ""Nobody is as smart as Everybody"" and that's why we built Mutual Fun as an ideation framework that allows for innovation through employee engagement and collaboration.",,,,,0,,,,"Information Technology, Government,",B2B
FitBiz Loans,,New York,New York,United States,"New York, NY, United States",http://FitBizLoans.com,0,8,2015,Financial Services,https://www.linkedin.com/company/fitbiz-loans,"Our Mission is to help you find the best financing option for your business. FitBiz Loans was founded in 2015 by Marc Prosser and David Waring, who together have over 25 years of experience in finance and small business management.

Whether you need financing to get a brand new business off the ground, working capital for an established business, or a loan to buy equipment or commercial real estate, we’re here to help you every step of the way. Our team of friendly and experienced loan specialists will discuss all your options and help you choose the lowest rate financing.",Privately Held,,2-10 employees,"small business loans, lending, financing, raising money",0,"Unbounce, WooCommerce",,,"Financial Services, Human Resources,",B2B
Abacashi,221804,São Paulo,State of São Paulo,Brazil,"São Paulo, São Paulo",http://www.abacashi.com,12,9993,2016,Internet,https://www.linkedin.com/company/vaquinhabacashi,"O Abacashi é uma plataforma de financiamento coletivo com os melhores diferenciais do mercado. Nosso foco é facilitar a criação de vaquinhas on-line, levando as ferramentas necessárias para que qualquer pessoa possa ter êxito em sua campanha, independente de qual o objetivo for - um projeto, uma causa social, um tratamento de saúde ou até eventos específicos, como aniversário ou casamento.

Uma startup fundada em 2016, localizada em São Paulo, com uma equipe enxuta, mas multicultural. Atua em parceria com o Google e já fez parcerias com empresas como Heineken e Allianz Parque.",Partnership,,2-10 employees,"fintech, financiamento coletivo, and digital, vaquinhas online",500000,"MailChimp, Tawk.to, Microsoft Azure",,,"Internet, Business Development, Debit Cards, FinTech, ,",B2B B2C
Pixfy,,Curitiba,State of Paraná,Brazil,"Curitiba, Paraná",http://www.pixfy.com.br,3,99,2019,Retail,https://www.linkedin.com/company/pixfytech,Contador de fluxo de pessoas para lojas e shoppings,Partnership,,2-10 employees,"Shopping, Varejo, IOT, Contador de Fluxo, and Visão Computacional",0,,,,"Construction, Software, Sales Automation, Internet of Things, , Hardware",B2B
WEALTHMAN,,,,,"London, England",http://wealthman.io,4,45,2017,Financial Services,https://www.linkedin.com/company/wealthman-io,,Privately Held,,51-200 employees,"fintech, wealth management, ico, crypto assets, decentralization, blockchain technology",0,Vuejs,Companies with a .IO domain,,"Advertising, Marketing,",B2B
Global Mentoring,,Wilmington,Delaware,United States,"Wilmington, Delaware",http://globalmentoringgroup.com,11,690,2017,Professional Training & Coaching,https://www.linkedin.com/company/global-mentoring-group,A Global Group with focus in contributing for the success of people and organizations trough knowledge.,Educational,,2-10 employees,,0,"YouTube, Google AdWords",,,"Software, E-Commerce, Education, ,",B2B B2C
Airbuy,,Cambridge,Massachusetts,United States,"Cambridge, Massachusetts",https://www.airbuyinc.com/,5,87,2017,Airlines/Aviation,https://www.linkedin.com/company/airbuyinc,"Airbuy, envisioned by MIT Sloan graduates, is an AI driven Customer Engagement Platform focused on Travel retail. We are focused on increasing the non-aero commercial revenues by bringing Customers to the Cash Registers of our retailer partners. 

Through our digital platform, passengers of our partner airlines and OTAs enjoy an extended time-window to browse our retailer/brand partner merchandise at home or on the move or in-flight using IFE/ Wi-Fi, and seamlessly place their orders which are fulfilled by our partner global travel retailers. Further, the experience is personalized by our machine learning capabilities, enabling targeted marketing of relevant travel retail products and brands to customers.",Privately Held,,2-10 employees,,0,"Google Cloud, HubSpot, D3js, Google Cloud DNS",,,,B2B
Monadd,,London,England,United Kingdom,"London, England, GB",http://www.monadd.io,6,188,,Information Technology & Services,https://www.linkedin.com/company/monadd,"We are an automation software that eliminates admin. 

We allow users to update their address across their service providers when they move. We identify all the service providers associated with their household and allow them to choose which ones they want to notify. 

This usually is a time-consuming, unproductive, and frustrating task for both the user and the marketing, data, and customer support personnel at the receiving business. 

We want admin that makes sense.",Privately Held,,2-10 employees,,0,"Next.js, Zendesk",Companies with a .IO domain,,"Software, ,",B2B B2C
Pixpie,,Kyiv,,Ukraine,Киев,https://pixpie.co,4,42,2015,Information Technology and Services,https://www.linkedin.com/company/pixpie,"Pixpie is a challenge-driven testing and consulting company, based in Ukraine (Kyiv) and with business presence in USA.

Team - qualified QA engineers with more than 3 years of experience each. Always available for immediate start within 1 week! 

We aim for long-term partnership with both our clients and QA engineers but ready to accept a challenge of small pilot projects with duration from one month to prove our expertise. 
For our mutual success we set up direct communication, and work to make sure that each project uses effective project management.

Any further information:
info@pixpie.co",Public Company,,11-50 employees,"Software testing, Web application testing, Mobile application testing, Manual QA",0,LinkedIn Ads,,,"Mobile, Mobile Apps, IaaS,",B2B
ONNi.live,,Porto Alegre,State of Rio Grande do Sul,Brazil,"Porto Alegre, Rio Grande do Sul, Brazil",https://onni.live/,0,42,2016,Information Technology and Services,https://www.linkedin.com/company/onni-live,"Somos uma plataforma que conecta produtores de eventos de música com o seu público.

Através do nosso marketplace, os produtores disponibilizam o ingresso e os produtos de bar/shop do evento para os usuários fazerem suas compras, assim, eliminamos as filas dos caixas e aumentamos a experiência do nosso usuário com aquele evento.

Com a inteligência que desenvolvemos, a experiência vai além da fila.

Através do big data gerado pelas compras dos usuários, os produtores tem a disposição uma ferramenta de marketing segmentada para fazer ativações  dentro do app, nas redes sociais e nos demais canais que a estratégia do demandar.

Fazer com que os momentos de festa marquem todos os envolvidos com essa experiência. Essa é a ideia! :)",,,11-50 employees,Plataforma de experiências de entretenimento  and Marketplace,0,,,,"Music, Apps, Marketing, Events, , Ticketing",B2B
FiftyFor,,Paris,Île-de-France,France,Paris,http://www.fiftyfor.com,2,171,2011,Internet,https://www.linkedin.com/company/fiftyfor,"Business is trust. 

FiftyFor is an online platform offering financial, operational and sustainability rating of African companies. 

We specialize in African small and medium enterprise, help manufacturers and investors to identify potential suppliers & customers, and investment opportunities in Africa.  Dedicated to minimizing time and costly efforts, we offer only solution.",Privately Held,,11-50 employees,"Risk Management, Africa, Sustainability, Marketplace, Corporate Social Responsibility, Finance, Rating, Due Diligence, Environment, Supply Chain, Machine learning,  network, Predictive analysis, Company Information",0,New Relic,,,"Financial Services, Insurance, Emerging Markets, , Predictive Analytics",B2B
tacterion,,Munich,Bavaria,Germany,"München, Bayern",http://www.tacterion.com,20,1378,2015,Electrical/Electronic Manufacturing,https://www.linkedin.com/company/tacterion,"tacterion | 767 followers on LinkedIn | High-Tech sensors for a tactile world | tacterion provides the technology for the tactile world. Using our high-tech sensors, electronics and algorithms, we enable the connection of the physical and digital world. We create intelligent tactile-driven machinery parts in Industry 4.0 as well as tactile products in Human-Machine Interaction.",Privately Held,,11-50 employees,"design, health and safety, innovation, automation, robotics, iot, sensors, smart products, emerging technologies, power tools, smart factory, precision, cobots, hmi, tactile sensors, custom-made solutions, connecting objects, enabling interactions, tracking forces, and printed electronics, tactility, touch interactions",28319,Stripe,,,"Information Technology, Robotics, Internet of Things, , Sensor",B2B
timeat,,Kyiv,,Ukraine,"Голосеевский район, Киев",https://timeatapp.com,4,65,2019,Information Technology and Services,https://www.linkedin.com/company/timeat,"Our team knows how sometimes it's uncomfortable to wait for food, bill and change. As well as how restaurants strive to provide better service and make you feel satisfied. So we decided to combine it.

We created timeat. Timeat is a platform for pre-ordering meals in restaurants via your smartphone.

Every person appreciates his or her time. An irrational waste of time can cause different inconvenience in our lives. And our mission is to bring value to people and restaurants in every detail to avoid unnecessary waiting.

We make everyday life better in four cities of Ukraine. Want to pre-order in your city? Just write us about it, and we will do our best to connect your favorite places as quickly as possible.

Timeat was created by Yevhenii Brovchuk in 2019 with his team in Kyiv.",Privately Held,,11-50 employees,,65000,,,,"Mobile Apps, Marketplace, Apps, Restaurants, Service Industry, Food and Beverage, Consumer Applications, ,",B2B B2C
"Walter James Employees, Location, Careers",,Greater London,England,United Kingdom,"London, Mayfair",http://www.walter-james.com,12,6445,2014,Staffing and Recruiting,https://www.linkedin.com/company/walterjames,"Walter James | 6,444 followers on LinkedIn. Walter James Group is a global executive search and human capital advisory firm working across a wide variety of sectors. We have specialist practices covering: Consumer, Life Sciences, Chemicals, Food & Beverage and Retail. 
Our Life Sciences practice has expanded by the acquisition of Euromedica in November 2016 who are a dedicated Life Sciences search firm who have completed over 4,000 assignments since their inception in 1987.",Privately Held,,11-50 employees,"Biotechnology, Chemicals, Change Management, Recruitment, Supply Chain Management, Talent Acquisition, Life Sciences, Operations, Executive Search, Business Strategy, Leadership, Operational Excellence, FMCG, Logistics, Executive Assessment, Procurement Management",0,Java,,,"Consulting, Recruiting, Financial Services, Human Resources, Staffing Agency,",B2B
Your Virtual Assistant,,Auckland,Auckland,New Zealand,Auckland,https://yourva.co.nz,15,138,1998,Executive Office,https://www.linkedin.com/company/your-virtual-assistant-limited,"Working with Your Virtual Assistant gives you so much more the virtual assistance. We don't just tick off tasks, we look at how we can add value to the task - and in doing so, add value to your business. Because we need you to be successful … so we’re successful.

Established in 1998 when the term virtual assistant still bought about blank stares when met with our elevator pitch, we have grown to a team of 13.  Our NZ based virtual assistants bring skills in Xero; graphic design; websites; social media and online marketing; strategy and operations; document proofing, design and branding; email and diary management and more.  We are proud to offer a one stop shop when it comes to offering our clients full business support. 

* VIRTUAL MARKETING 
* VIRTUAL ASSISTANCE
* VIRTUAL BOOKKEEPING

To learn more about Your Virtual Assistant’s services, visit www.yourva.co.nz
To join our team, email alice@yourva.co.nz",Self Owned,,11-50 employees," Marketing, Business Support, Website Design, Graphic Design, Lead Generation, Event Management, Virtual Assistant, Social Media, Bookkeeping (Xero), Landing Page Campaigns, Document Specialists, Newsletters & Email Marketing, and Email & Diary Management",0,,,,"Virtual Assistant, Business Development, Small and Medium Businesses, Outsourcing, ,",B2B B2C
Construa.me,,João Pessoa,State of Paraíba,Brazil,"João Pessoa, Paraíba, Brazil",http://construa.me,1,7,2018,Capital Markets,https://www.linkedin.com/company/construa-me,Construindo Imóveis e Patrimônios,Privately Held,,2-10 employees,,0,,,,"Construction, Consulting, Real Estate, ,",B2B B2C
Emotive,,Los Angeles,California,United States,"Los Angeles, California",https://emotive.io,206,2551,2018,Computer Software,https://www.linkedin.com/company/emotiveio,"Our mission is to humanize the internet. 

Since our launch in 2018, Emotive has created the category of human-to-human marketing, enabling eCommerce merchants to scale 1:1 relationships with customers through conversational texting. 

We’re extraordinarily proud of the company we’ve built. We’re a driven, passionate, responsible group that values personal and professional growth equally. We take care of ourselves, our families, our customers, and one another. We believe in sustainable and diverse approaches to work and life, because optimizing for the long-term is the best path to success.

Our company is distributed, with remote team members worldwide and headquarters in Los Angeles. We offer competitive salaries, meaningful equity, and generous benefits. And you get to work on a product people absolutely love!",Privately Held,,51-200 employees,"SaaS, Mobile Marketing, ",60900000,"HubSpot, Next.js, Unbounce, YouTube, Drift, LinkedIn Ads, Google AdWords, Mailgun","Companies Hiring Sales - May 2020, Ask HN: Companies hiring, August 2020, Companies with a .IO domain, Companies Hiring Remotely for Sales Positions in 2021, Growjo 10,000 - 2021 List",,"E-Commerce, Marketing Automation, SaaS, , Natural Language Processing,",B2B B2C
Insta Ventures,,Limassol,Limassol,Cyprus,"Limassol, Cyprus",https://insta.vc,2,27,,Investment Banking,https://www.linkedin.com/company/insta-ventures,,Privately Held,,2-10 employees,,0,,,,"Mobile, Artificial Intelligence, Video, Marketplace, Advertising, FinTech, Enterprise Software, Marketing Automation, SaaS,",B2B
Wallkit,,New York,New York,United States,"New York, NY",https://wallkit.net,4,26,2017,Information Technology and Services,https://www.linkedin.com/company/wallkit-subscription-paywall,"Wallkit is a service that helps publishers and content producers maximize revenue from their content. The cloud-based paywall service integrates across all the major platforms and allows easy management of paid-subscriber access to content - plus a dashboard and CRM settings that empower sales teams to increase revenues.

- Account Management - at an individual, group and corporate level
- Membership level setting - across access-volume, file type, time-spent and service offering
- Trigger email delivery - for CRM, upselling and retention
- Smart integration - on common systems like Wordpress, Hubspot, Stripe, Mailchimp",Partnership,,2-10 employees,"publishing, wordpress, API integration, paywall, subscription, hubspot, stripe, and mailchimp",0,,,,"Internet, Publishing, Software, Social Media, Events, SaaS, , Payments",B2B
IVENGA,,,,,,https://www.ivenga.com/,0,0,2020,Internet,https://www.linkedin.com/company/ivenga,"IVENGA founded in 2020 in London, UK.

We provide sellers with the tools, solutions and support they need to grow and prosper their business. 

Our vision of commerce is that which is realized by people, based on technology and open to all. Ivenga will provide our customers with a complete ecosystem of e-commerce and digital banking for instant purchases and payments.",Privately Held,,2-10 employees,,0,,,,"Financial Services, E-Commerce, Banking, FinTech, , Customer Service, Payments,",B2B B2C
"PaymentWorks Employees, Location, Careers",,Boston,Massachusetts,United States,"Boston, MA",http://www.paymentworks.com,67,1272,2013,Information Technology and Services,https://www.linkedin.com/company/paymentworks,"PaymentWorks enables large and mid-sized companies to exchange information securely with suppliers to ensure efficiency throughout the invoice to pay process.  Our ERP-agnostic, cloud-based software is quickly deployed and set apart by EnterpriseConnectSM, a networking model that achieves rapid, organic supplier adoption.",Privately Held,,51-200 employees,,13000000,"HubSpot, Salesforce, Amazon Route 53, Zendesk","Growjo 10,000 - 2021 List",,"Information Technology, Cyber Security, , Identity Management, Payments",B2B
Global Retail Alliance,,New York,New York,United States,"New York, NY",http://www.gra.world,6,613,2016,Marketing and Advertising,https://www.linkedin.com/company/global-retail-alliance,"The Global Retail Alliance was created for a specific business community that needs to be aware that you can be successful only  if you stay connected and if you are up to date with everything happening in the different markets. A disruption somewhere in the world can always change the game. A member of this organization knows that a connection with a global network is the key to success. Staying informed and educated, globally and locally, is the best way to make the right choices for the future of every business, especially retail.

Our members are Retailers, Brands, Agencies, Suppliers, Design Firms, Consulting Companies and Universities. Our mission is to provide inspiration and guidance to the business community surrounding the retail marketplace through advocacy, education and networking. We keep our partners informed, educated, updated and connected through advocacy, education and networking.

We explore Retail Design & Visual Merchandising; Shopper Marketing and Neuro marketing;  Technology and Innovation; Travel Retail and e-commerce, and all the areas we believe can inspire and inform our members.

Our activities include everything from studies and insights, education, conferences and summits, to networking events, awards and recognition.  We offer our members daily news, informational reports  and access to the only global virtual library focused on retail and marketing. We connect our associates to our international knowledge center where experts can service their needs. They can also access the most relevant retail conferences and events, organized worldwide, thanks to our partners.",Non Profit,,2-10 employees,,0,YouTube,,,"Retail, Advertising, Marketing, Business Development,",B2C
LinkedSelling,616654,St. Louis,Missouri,United States,"St Louis, Missouri",http://LinkedSelling.com,63,14946,2010,Marketing and Advertising,https://www.linkedin.com/company/linkedselling,"LinkedSelling | 13,835 followers on LinkedIn | LinkedSelling helps B2B companies capture hard-to-reach, high-value leads through Multi-Channel Outbound Lead Generation | Schedule a time to chat here - http://bit.ly/2FQKelV

LinkedSelling helps organizations increase sales utilizing LinkedIn, Facebook, and Email.  

Consider Us The &quot;Anti-Funnel&quot;​ Agency Of The Online Marketing World.
Funnels are great - for some businesses.",Privately Held,,11-50 employees,"LinkedIn Advertising, Sales, Prospecting, LinkedIn, Marketing Services, Branding, Marketing Training, Sales Coaching, Facebook Advertising, LinkedIn Training, Marketing, Lead Generation,  Lead Generation, Email Marketing, Sales Training, LinkedIn Marketing, LinkedIn Services, LinkedIn Campaigns, LinkedIn Strategy, Business Growth Training, LinkedIn Agency",0,"LiveChat, Unbounce, WordPress, LinkedIn Ads, Google AdWords, Keap (prev. Infusionsoft)",Inc 2000 - Fast Growing Privately Held,,"Consulting, Sales, Corporate Training, , Lead Generation, Training",B2B
Handshake,179465,New York,New York,United States,New York,http://www.handshake.com,11,1646,2011,Computer Software,https://www.linkedin.com/company/handshake-corp,"B2B Commerce is how every product arrives on every shelf, in every store.

B2B is different. It’s complex. It’s about relationships.
 
We believe that the experience of B2B buying and selling can be better. That suppliers can build even stronger relationships with their customers. 
 
We’ve made it our mission to help manufacturers & distributors grow their business by making it easy for their customers to order the right products from them, in-person and online.
 
The Handshake B2B Commerce platform makes buying and selling simple, intuitive and mobile. Sales reps and their customers can rapidly place orders on any device, anywhere, anytime.

Pen and paper, faxes and phone calls - your time is over.",Privately Held,,51-200 employees,"eCommerce,  Commerce,  eCommerce, Sales Order Management, Mobile Order Entry,  Mobile Commerce",23500000,"Amazon Cloudfront, Amazon Web Services, HubSpot, Java, Marketo, Pardot, Salesforce, Solr, Slack, Salesforce Pardot, Sendgrid, Amazon Route 53, Google AdWords, Mailgun, Marketo Email, Campaign Monitor, Zendesk",Chief Martec - Commerce & Sales,,"Internet, E-Commerce, Enterprise Software, Sales Automation, SaaS, , E-Commerce Platforms",B2B
北京悟空保科技有限公司,,Beijing,Beijing,China,"北京市, 北京市",http://wkbins.com,29,17,,Information Technology and Services,https://www.linkedin.com/company/北京悟空保科技有限公司,"北京悟空保科技有限公司 is an information technology and services company based out of 北京市海淀区高里掌路3号院17号楼1单元201-A072号, 北京市, 北京市, China.",,,,,135000000,,,,"Insurance, InsurTech,",B2B
Bainisha,,Lokeren,Flanders,Belgium,Lokeren,http://www.bainisha.com/,3,156,2014,"Health, Wellness and Fitness",https://www.linkedin.com/company/bainisha,"Bainisha is a B2B Wearable Technology Platform Developer/Integrator.

With our patented technology platform we can radically push the current accuracy level of on-body movement detection to an unprecedented level.

Our platform largely outperforms all currently available motion caption capabilities:

- capturing explosive kinetics with unprecedented accuracy 

- capture such minute displacements as the onset and development of muscle tremble e.g. caused by fatigue (standing too long) or by excessive effort (climbing flights of stairs).

- mapping kinetics @ medical data quality level, allowing to compare strategic moves in detail (such as bowling - cricket, smashing - volleyball etc) i.e. This is due to our direct measurement concept producing unequivocal medical quality measurement data.

- The direct measurements have an other major advantage: displacement is measured with hyper accuracy and resolution, hence all derivatives (speed, acceleration and jerk) are equally of supreme accuracy. 

We welcome all requests and quarries concerning the above topics:
Call +32 492 72 53 27 or +32 9 348 49 61 or e-mail patrick.vandevyver@bainisha.com",Privately Held,,2-10 employees,"Wearable Technology, Integrated System Design, Sensor Data Processing, Industrial large displacement & vibration sensor, On-body sensor system development, and Cloud Applications",0,Drupal,,,"Information Technology, CRM, , Hardware",B2B
Flowenum,,Tampere,,Finland,Tampere,http://www.flowenum.com,0,97,,Information Technology and Services,https://www.linkedin.com/company/flowenum-inc.,"We are a growing international InsurTech company who believes that digitalization will bring massive opportunities for Insurance companies to better serve their customers and outmaneuver existing and rapidly emerging new competition.  We deliver new business models, future-proof technologies and create opportunities never seen before in Insurance segment. Our vision is to make insurance personal, simple and engaging for both people and insurance companies. 
​
Our team has long term and in depth experience in developing and delivering SW solutions and products to both B2C and B2B markets at Nokia and Microsoft Mobile. We are experienced digital transformations drivers. We have done it before and we know what to do.  We know you need to act fast to be the leader in the future.

Our B2B offering is an end to end solution that enables insurace companies to build connected smart insurance services and products for customers in digital future. The solution includes a service and a product element and comes with three key components: a consumer mobile user experience, a cloud computing core and interfaces to Insurance and Service provider systems. We read and combine user based telemetry data streams with various other data sources and create personalized risk profiles in a cloud computing machine learning environment. These profiles are then used to build and target products and services for the customers to ensure they are served and covered according to their needs in all circumstances. The solution is able to serve all segments of insurance - including property, health and motor.",Privately Held,,2-10 employees,"Insurtech, Cloud solutions, Mobile technology, Machine learning, Analytics, Big data, Security, Privacy, Transformation, Digital, Insurance technologies, Large scale systems, Software",15000,,,,"Information Technology, Insurance,",B2B
